gas_cost,volatility,rebalance_every,lower_offset,upper_offset,eval_seed,n_eval,run_id,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl
2.0,0.01,50,-1,1,1005,1000,36073252_0,44.56265326361525,21.188267019544924,43.78235786054313,11.262108300552114,80.55488005334593,4.738083912907111,-6.554991720082353,0.24081389307939388,0.012714195720351373,0.991,0.0,7.366676805675603e-165,44.56265326361525,2.0,0.0,0.0,0.18411400000000003,14.026775365579786,3.3650294719369103,0.0,0.0,0.0,15.503,14.503,1.4503,1000,89.65024569313633,16.010490107578306,29.006,-0.0711023219427685
2.0,0.01,100,-1,1,1005,1000,36073252_0,35.605910627093344,19.634341568455774,35.40556035523775,5.282721057459582,68.42815982380861,-1.4490724030059823,-10.060882634283985,0.2356054587639969,-0.004000568143838645,0.975,0.0,1.5932606846763877e-163,35.605910627093344,2.0,0.0,0.0,0.402317,20.954039692499514,6.989730081520388,0.0,0.0,0.0,7.997,6.997,0.6997000000000001,1000,60.94052687091188,11.154814039114477,13.994,-0.18580220470407346
2.0,0.01,150,-1,1,1005,1000,36073252_0,30.609372960446052,19.342621726104387,29.37027858997544,1.2689570261408507,66.0968112349984,-4.679519311254573,-13.464000839451945,0.500384365938578,0.4679963186620779,0.956,2.8145562623109036e-274,3.3007513620210018e-161,30.609372960446052,2.0,0.0,0.0,0.21988900000000006,25.84853499101164,10.696880282992748,0.0,0.0,0.0,5.51,4.51,0.451,1000,48.96146689415994,8.918276222902811,9.02,-0.4138177108110725
2.0,0.01,200,-1,1,1005,1000,36073252_0,27.54341521499758,18.131135319841313,26.21863310446213,0.4332977587225231,57.95160102602131,-5.244246325538127,-13.361281719763634,0.44206861943084214,0.5193298363134162,0.951,9.431238056712524e-262,1.1697282329141205e-159,27.54341521499758,2.0,0.0,0.0,0.998014,28.750123541508863,14.052084831362356,0.0,0.0,0.0,4.019,3.019,0.30190000000000006,1000,41.627718058514745,7.911255370272215,6.038,-0.1350474732449494
2.0,0.01,250,-1,1,1005,1000,36073252_0,25.93648377625085,18.53214340037412,24.630691861015293,-2.4305355357375156,57.50134809482536,-9.65639787325071,-20.014917635072788,0.3154849923218039,0.2861483125224944,0.93,1.4979464214065804e-237,1.914747016433049e-153,25.93648377625085,2.0,0.0,0.0,0.8932110000000002,31.425661397511075,18.156708261259226,0.0,0.0,0.0,3.51,2.51,0.25099999999999995,1000,38.22548696558633,7.279040806647963,5.02,0.010037617312487498
2.0,0.01,300,-1,1,1005,1000,36073252_0,24.041320739126675,17.445412127489124,22.515690790666326,-1.640228768941136,53.71861692992692,-9.553061619414402,-19.983402400324895,0.4352140825218361,0.6999493981448803,0.936,3.9006314040564903e-233,3.6275181918178594e-153,24.041320739126675,2.0,0.0,0.0,-0.07990400000000011,32.61089936841225,20.45081687480439,0.0,0.0,0.0,3.0,2.0,0.2,1000,35.069535725269176,6.684998976290323,4.0,-0.3432160098521768
2.0,0.01,350,-1,1,1005,1000,36073252_0,23.02584343977787,17.76255473132511,21.583969749296557,-3.5655483395315284,54.06410332068319,-10.147001660516459,-19.48889431930984,0.3976839094991065,0.4802979606858826,0.919,4.122014238189122e-216,1.4131619781154663e-149,23.02584343977787,2.0,0.0,0.0,0.9910610000000002,34.16245301202462,24.698726093045344,0.0,0.0,0.0,2.978,1.978,0.1978,1000,33.67073396917511,6.5237640316127345,3.956,-0.16512649778450286
2.0,0.01,400,-1,1,1005,1000,36073252_0,20.761035717712563,17.579733370439136,18.70958115235402,-5.496718995189729,52.58874536743465,-11.150239918290032,-20.774170802890886,0.4293653540613264,0.2740793024852377,0.895,1.2171043644005468e-191,1.0813641587789404e-142,20.761035717712563,2.0,0.0,0.0,1.636599,35.92472256885159,27.86073242275226,0.0,0.0,0.0,2.019,1.019,0.10189999999999999,1000,28.71317505432896,5.884282824532657,2.038,-0.029856512083741463
4.0,0.02,50,-1,1,1005,1000,36073407_14,-33.91660522601803,24.619316170189332,-33.2191803097823,-74.80799324894957,3.9150733494610863,-89.68333942014095,-112.59281826892807,-0.20546892079261728,0.7330396097610694,0.077,4.822228762344519e-233,1.1505086901202845e-149,-33.91660522601803,2.0,0.0,0.0,0.304615,18.481085077237015,5.199947244999223,0.0,0.0,0.0,18.851,17.851,1.7851,1000,75.03897026918114,37.54772334531753,71.404,-0.0038521498816397894
4.0,0.02,100,-1,1,1005,1000,36073407_14,-10.4277903593386,21.72117391648574,-9.630890735856724,-45.32543219147247,23.826888256620773,-58.27185107137376,-79.0871476232891,-0.17626850361905003,0.6008797601528246,0.309,5.930580912736386e-47,3.9965339035314936e-44,-10.4277903593386,2.0,0.0,0.0,0.4859110000000001,30.444561776675634,10.595855794275373,0.0,0.0,0.0,9.806,8.806,0.8805999999999999,1000,50.73091818403771,25.503737835547344,35.224,-0.4309707078289708
