gas_cost,volatility,reward_kind,inventory_phi,agent,mean_pnl,std_pnl,median_pnl,skew_pnl,kurt_pnl,profitable_frac,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,rebalances_per_ep,rebalance_rate_pct,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,attrib_hodl,attrib_fees,attrib_il,attrib_gas,risk_profile
2,0.005,pnl,0.0,DeployWide,18.85,12.93,17.96,0.16,-0.74,0.938,30.0,0.0,0.0,0.995,18.672,28.608,0.0,0.0,0.0,0.0,0.0,1.0,-0.11,20.64,1.68,0.0,pnl
2,0.005,pnl,0.0,ArrivalRebalance,42.47,20.58,40.34,0.5,0.21,0.995,2.0,0.0,0.0,0.489,15.056,7.782,3.0,0.3,0.0,0.0,0.0,4.0,-0.17,52.46,3.82,6.0,pnl
2,0.005,pnl,0.0,DeployNarrow,23.35,19.68,19.64,0.98,1.19,0.932,2.0,0.0,0.0,0.995,18.672,28.608,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,25.46,2.01,0.0,pnl
2,0.005,pnl,0.0,CDM,28.21,8.05,28.46,-0.16,-0.28,1.0,29.903,1.624,0.053,0.15,11.561,5.87,3.02,0.3,-3.949,6.306,1.264,4.02,-0.12,37.28,2.92,6.04,pnl
2,0.005,pnl,0.0,PPO,68.27,21.71,67.75,0.22,-0.09,1.0,2.112,0.256,0.279,0.123,13.989,4.976,6.36,63.55,-0.138,1.005,0.443,7.36,-0.12,87.44,6.33,12.71,pnl
2,0.005,pnl,0.0,PPO_narrow,70.67,22.26,70.12,0.16,-0.04,1.0,2.0,0.0,0.0,0.155,13.914,5.021,7.12,71.21,0.002,0.95,0.402,8.12,-0.13,91.63,6.59,14.24,pnl
2,0.01,pnl,0.0,DeployWide,12.78,13.92,11.96,0.16,0.04,0.838,30.0,0.0,0.0,2.109,36.827,56.631,0.0,0.0,0.0,0.0,0.0,1.0,-0.22,16.69,3.68,0.0,pnl
2,0.01,pnl,0.0,ArrivalRebalance,30.61,19.34,29.37,0.5,0.47,0.956,2.0,0.0,0.0,0.22,25.849,10.697,4.51,0.45,0.0,0.0,0.0,5.51,-0.41,48.96,8.92,9.02,pnl
2,0.01,pnl,0.0,DeployNarrow,15.85,16.96,13.6,0.59,0.63,0.853,2.0,0.0,0.0,2.109,36.827,56.631,0.0,0.0,0.0,0.0,0.0,1.0,-0.2,20.1,4.04,0.0,pnl
2,0.01,pnl,0.0,CDM,24.56,11.8,25.23,-0.39,0.31,0.973,29.914,1.53,0.046,0.101,13.449,4.307,7.58,0.76,-1.991,4.91,0.644,8.58,-0.23,50.6,10.67,15.15,pnl
2,0.01,pnl,0.0,PPO,41.91,18.03,41.04,0.13,0.02,0.995,4.817,2.987,1.545,0.368,26.596,9.68,6.16,61.63,-0.386,3.562,1.635,7.16,-0.29,66.83,12.31,12.33,pnl
2,0.01,pnl,0.0,PPO_narrow,49.7,20.79,48.3,0.19,0.07,0.994,1.997,0.008,0.021,0.272,26.527,9.717,7.82,78.21,-0.103,2.248,0.902,8.82,-0.49,79.64,13.81,15.64,pnl
2,0.015,pnl,0.0,DeployWide,7.94,14.66,8.43,-0.31,0.5,0.765,30.0,0.0,0.0,3.262,54.021,83.384,0.0,0.0,0.0,0.0,0.0,1.0,-0.33,13.96,5.69,0.0,pnl
2,0.015,pnl,0.0,ArrivalRebalance,19.55,19.7,19.26,0.15,0.57,0.856,2.0,0.0,0.0,0.936,33.21,13.222,5.04,0.5,0.0,0.0,0.0,6.04,-0.29,44.68,14.76,10.08,pnl
2,0.015,pnl,0.0,DeployNarrow,10.72,16.94,10.58,0.15,0.77,0.791,2.0,0.0,0.0,3.262,54.021,83.384,0.0,0.0,0.0,0.0,0.0,1.0,-0.31,17.09,6.06,0.0,pnl
2,0.015,pnl,0.0,CDM,8.0,16.75,9.45,-0.57,0.52,0.728,29.894,1.671,0.076,0.16,14.332,4.114,12.23,1.22,-1.571,4.386,0.709,13.23,-0.35,54.85,22.04,24.46,pnl
2,0.015,pnl,0.0,PPO,21.44,18.14,21.33,0.06,0.22,0.881,7.603,5.191,3.398,1.702,39.195,16.92,5.25,52.55,-0.018,4.648,2.319,6.25,-0.06,49.45,17.44,10.51,pnl
2,0.015,pnl,0.0,PPO_narrow,31.74,19.38,31.7,0.0,0.15,0.951,2.0,0.001,0.004,1.585,39.933,17.477,6.53,65.29,0.387,2.468,1.112,7.53,-0.42,64.57,19.35,13.06,pnl
