gas_cost,volatility,inventory_phi,agent,n_seeds,mean,p5_mean,p95_mean,std,p5_std,p95_std,cvar5_mean,cvar5_std,cvar1_mean,cvar1_std,std_pnl_mean,min,max,range,cv_pct
2.0,0.01,0,ArrivalRebalance,10,30.609372960446052,1.2689570261408507,66.0968112349984,0.0,0.0,0.0,-4.679519311254573,0.0,-13.464000839451945,0.0,19.342621726104387,30.609372960446052,30.609372960446052,0.0,0.0
2.0,0.01,0,CDM,10,24.5565655138763,4.106808310302426,42.86796881336147,0.0,0.0,0.0,-2.427336274027143,0.0,-12.350241369351636,0.0,11.799920771427688,24.5565655138763,24.5565655138763,0.0,0.0
2.0,0.01,0,DeployNarrow,10,15.853083515013816,-8.712122030260673,46.928570278263656,0.0,0.0,0.0,-14.516680283819761,0.0,-24.147723319955094,0.0,16.956191085381878,15.853083515013815,15.853083515013815,0.0,0.0
2.0,0.01,0,DeployWide,10,12.778933753980283,-9.371417503759556,37.770858544332846,0.0,0.0,0.0,-15.105149504433717,0.0,-23.347849320742046,0.0,13.919367309882404,12.778933753980283,12.778933753980283,0.0,0.0
2.0,0.01,50,ArrivalRebalance,10,30.609372960446052,1.2689570261408507,66.0968112349984,0.0,0.0,0.0,-4.679519311254573,0.0,-13.464000839451945,0.0,19.342621726104387,30.609372960446052,30.609372960446052,0.0,0.0
2.0,0.01,50,CDM,10,24.5565655138763,4.106808310302426,42.86796881336147,0.0,0.0,0.0,-2.427336274027143,0.0,-12.350241369351636,0.0,11.799920771427688,24.5565655138763,24.5565655138763,0.0,0.0
2.0,0.01,50,DeployNarrow,10,15.853083515013816,-8.712122030260673,46.928570278263656,0.0,0.0,0.0,-14.516680283819761,0.0,-24.147723319955094,0.0,16.956191085381878,15.853083515013815,15.853083515013815,0.0,0.0
2.0,0.01,50,DeployWide,10,12.778933753980283,-9.371417503759556,37.770858544332846,0.0,0.0,0.0,-15.105149504433717,0.0,-23.347849320742046,0.0,13.919367309882404,12.778933753980283,12.778933753980283,0.0,0.0
2.0,0.02,0,ArrivalRebalance,10,7.954210810655073,-25.91876936542635,41.71659917191731,0.0,0.0,0.0,-39.10763501601193,0.0,-59.241280621473,0.0,20.468076960484634,7.9542108106550735,7.9542108106550735,0.0,0.0
2.0,0.02,0,CDM,10,-39.33079240042577,-135.39859009041567,13.729645117584534,0.0,0.0,0.0,-191.29110076161808,0.0,-281.4110959807993,0.0,50.64273073289341,-39.33079240042577,-39.33079240042577,0.0,0.0
2.0,0.02,0,DeployNarrow,10,6.477607686199505,-23.96664213352248,34.81409255433276,0.0,0.0,0.0,-35.36628440504408,0.0,-50.708465953253054,0.0,17.950551852566374,6.477607686199505,6.477607686199505,0.0,0.0
2.0,0.02,0,DeployWide,10,4.09478718770963,-24.95742360716701,27.8048911655416,0.0,0.0,0.0,-36.48392899469141,0.0,-51.603535519010464,0.0,16.271817552955877,4.09478718770963,4.09478718770963,0.0,0.0
2.0,0.02,50,ArrivalRebalance,10,7.954210810655073,-25.91876936542635,41.71659917191731,0.0,0.0,0.0,-39.10763501601193,0.0,-59.241280621473,0.0,20.468076960484634,7.9542108106550735,7.9542108106550735,0.0,0.0
2.0,0.02,50,CDM,10,-39.33079240042577,-135.39859009041567,13.729645117584534,0.0,0.0,0.0,-191.29110076161808,0.0,-281.4110959807993,0.0,50.64273073289341,-39.33079240042577,-39.33079240042577,0.0,0.0
2.0,0.02,50,DeployNarrow,10,6.477607686199505,-23.96664213352248,34.81409255433276,0.0,0.0,0.0,-35.36628440504408,0.0,-50.708465953253054,0.0,17.950551852566374,6.477607686199505,6.477607686199505,0.0,0.0
2.0,0.02,50,DeployWide,10,4.09478718770963,-24.95742360716701,27.8048911655416,0.0,0.0,0.0,-36.48392899469141,0.0,-51.603535519010464,0.0,16.271817552955877,4.09478718770963,4.09478718770963,0.0,0.0
2.0,0.03,0,ArrivalRebalance,10,-10.637955146642154,-54.4868736575083,26.982942469402396,0.0,0.0,0.0,-76.86715457142787,0.0,-109.57899863637826,0.0,26.119650471557513,-10.637955146642154,-10.637955146642154,0.0,0.0
2.0,0.03,0,CDM,10,-3.341656629503986,-41.70806257779816,22.65908810637193,0.0,0.0,0.0,-57.04780737247353,0.0,-77.99773849329829,0.0,20.250305824244503,-3.341656629503986,-3.341656629503986,0.0,0.0
2.0,0.03,0,DeployNarrow,10,0.0964713179157136,-39.48090507159393,30.51672447722992,0.0,0.0,0.0,-56.168761744772,0.0,-77.51757365376551,0.0,21.608472923836356,0.0964713179157136,0.0964713179157136,0.0,0.0
2.0,0.03,0,DeployWide,10,-2.1249120924062783,-40.699911794290735,23.251087766135786,0.0,0.0,0.0,-57.32995524756137,0.0,-78.77373364024155,0.0,20.711410886736758,-2.1249120924062783,-2.1249120924062783,0.0,0.0
2.0,0.03,50,ArrivalRebalance,10,-10.637955146642154,-54.4868736575083,26.982942469402396,0.0,0.0,0.0,-76.86715457142787,0.0,-109.57899863637826,0.0,26.119650471557513,-10.637955146642154,-10.637955146642154,0.0,0.0
2.0,0.03,50,CDM,10,-3.341656629503986,-41.70806257779816,22.65908810637193,0.0,0.0,0.0,-57.04780737247353,0.0,-77.99773849329829,0.0,20.250305824244503,-3.341656629503986,-3.341656629503986,0.0,0.0
2.0,0.03,50,DeployNarrow,10,0.0964713179157136,-39.48090507159393,30.51672447722992,0.0,0.0,0.0,-56.168761744772,0.0,-77.51757365376551,0.0,21.608472923836356,0.0964713179157136,0.0964713179157136,0.0,0.0
2.0,0.03,50,DeployWide,10,-2.1249120924062783,-40.699911794290735,23.251087766135786,0.0,0.0,0.0,-57.32995524756137,0.0,-78.77373364024155,0.0,20.711410886736758,-2.1249120924062783,-2.1249120924062783,0.0,0.0
4.0,0.01,0,ArrivalRebalance,10,21.42998811786843,-8.69003564762791,57.018904320609884,0.0,0.0,0.0,-14.34868685121091,0.0,-23.44218206287592,0.0,19.43656975941591,21.42998811786843,21.42998811786843,0.0,0.0
4.0,0.01,0,CDM,10,9.055466786820736,-18.581319683352167,32.656567036011516,0.0,0.0,0.0,-26.801706335469227,0.0,-38.94956926908926,0.0,15.536042191356476,9.055466786820736,9.055466786820736,0.0,0.0
4.0,0.01,0,DeployNarrow,10,15.853083515013816,-8.712122030260673,46.928570278263656,0.0,0.0,0.0,-14.516680283819761,0.0,-24.147723319955094,0.0,16.956191085381878,15.853083515013815,15.853083515013815,0.0,0.0
4.0,0.01,0,DeployWide,10,12.778933753980283,-9.371417503759556,37.770858544332846,0.0,0.0,0.0,-15.105149504433717,0.0,-23.347849320742046,0.0,13.919367309882404,12.778933753980283,12.778933753980283,0.0,0.0
